Trade_Timestamp,Position,Entry_Price,Exit_Price,PnL
2025-06-09 10:39:00,Long,737.4,741.4,4.0
2025-06-09 10:40:00,Long,739.75,743.75,4.0
2025-06-09 10:41:00,Long,745.05,749.05,4.0
2025-06-09 10:42:00,Long,748.0,752.0,4.0
2025-06-09 10:43:00,Long,748.95,752.95,4.0
2025-06-09 10:44:00,Long,750.9,754.9,4.0
2025-06-09 10:46:00,Long,752.2,756.2,4.0
2025-06-09 10:47:00,Long,756.0,753.0,-3.0
2025-06-09 10:49:00,Long,748.55,752.55,4.0
2025-06-09 10:53:00,Long,742.6,746.6,4.0
2025-06-09 10:56:00,Long,742.6,746.6,4.0
2025-06-09 10:59:00,Long,738.95,742.95,4.0
2025-06-09 11:03:00,Long,742.5,739.5,-3.0
2025-06-09 11:05:00,Long,737.3,734.3,-3.0
2025-06-09 11:07:00,Long,719.15,723.15,4.0
2025-06-09 11:09:00,Long,716.75,720.75,4.0
2025-06-09 11:10:00,Long,720.0,724.0,4.0
2025-06-09 11:11:00,Long,721.3,725.3,4.0
2025-06-09 11:18:00,Long,704.7,708.7,4.0
2025-06-09 11:20:00,Long,704.85,708.85,4.0
2025-06-09 11:22:00,Long,695.1,699.1,4.0
2025-06-09 11:28:00,Long,687.15,684.15,-3.0
2025-06-09 11:31:00,Long,677.35,681.35,4.0
2025-06-09 11:32:00,Long,685.15,689.15,4.0
2025-06-09 11:34:00,Long,693.8,697.8,4.0
2025-06-09 11:35:00,Long,698.6,702.6,4.0
2025-06-09 11:36:00,Long,700.0,704.0,4.0
2025-06-09 11:42:00,Long,690.25,694.25,4.0
2025-06-09 11:43:00,Long,694.0,698.0,4.0
2025-06-09 11:45:00,Long,698.0,695.0,-3.0
2025-06-09 11:47:00,Long,695.95,692.95,-3.0
2025-06-09 11:50:00,Long,687.55,691.55,4.0
2025-06-09 11:51:00,Long,691.0,695.0,4.0
2025-06-09 11:52:00,Long,695.45,699.45,4.0
2025-06-09 11:55:00,Long,687.05,691.05,4.0
2025-06-09 12:00:00,Long,700.45,704.45,4.0
2025-06-09 12:05:00,Long,708.1,706.9,-1.2000000000000455
